COMBINED TABLES 1 AND 2 FROM STELZER (2013) APPENDIX.
ALL FLUX VALUES ARE IN ERG/CM2/S!

NAME	 Gl/GJ	 d [pc]	 d_unc [pc]	 SpT	 T_eff [K]	 log f_bol,E 	 v sin(i) [km/s]	 log f_NUV	 log f_NUV_bound	 log f_FUV	 log_f_FUV_bound	 log f_X	 log f_X_bound
PM I17352-4840	 Gl 680	 9.73	 0.26	 M1.5	 3575.0	 −8.07	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.80	 N/A
PM I17364+6820	 Gl 687	 4.53	 0.02	 M3.0	 3318.0	 −8.06	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.67	 [−12.61, −12.74]
PM I17370-4419	 Gl 682	 5.08	 0.06	 M3.5	 3241.0	 −8.32	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −13.41	 [−13.28, −13.59]
PM I17378+1835	 Gl 686	 8.08	 0.11	 M1.0	 3650.0	 −7.77	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.24	 N/A
PM I17439+4322	 Gl 694	 9.48	 0.11	 M2.5	 3425.0	 −8.44	 < 2.50 	 −13.28	 [−13.21, −13.35]	 −13.44	 N/A	 −12.93	 [−12.83, −13.07]
PM I17464+2743W	 Gl 695 BC	 8.4	 2.1	 M3.5	 3241.0	 −8.76	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.01	 [−11.97, −12.06]
PM I17465-5719	 Gl 693	 5.83	 0.08	 M2.0	 3500.0	 −7.80	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.76	 N/A
PM I17578+0441N	 N/A	 1.82	 0.01	 M4.0	 3165.0	 −7.57	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.94	 [−12.89, −12.99]
PM I18051-0301	 Gl 701	 7.76	 0.09	 M1.0	 3650.0	 −7.73	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.82	 [−12.67, −13.05]
PM I18075-1557	 GJ 1224	 7.54	 1.88	 M4.5	 3089.0	 −8.93	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −11.98	 [−11.93, −12.05]
PM I18189+6611	 GJ 4053	 7.27	 1.82	 M4.5	 3089.0	 −8.89	 14.6 	 N/A	 N/A	 N/A	 N/A	 −12.56	 [−12.53, −12.58]
PM I18224+6203	 GJ 1227	 8.23	 2.06	 M4.5	 3089.0	 −9.00	 < 2.30 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I18411+2447S	 GJ 1230 A	 8.27	 0.52	 M4.5	 3089.0	 −9.01	 ... 	 −12.76	 [−12.72, −12.80]	 −12.40	 [−12.29, −12.50]	 −12.05	 [−12.00, −12.11]
PM I18427+5937N	 Gl 725 A	 3.57	 0.03	 M3.0	 3318.0	 −7.85	 < 2.50 	 −12.71	 [−12.67, −12.74]	 −12.76	 [−12.62, −12.89]	 −12.51	 [−12.47, −12.55]
PM I18427+5937S	 Gl 725 B	 3.45	 0.04	 M3.5	 3241.0	 −7.99	 < 2.50 	 −13.23	 [−13.17, −13.29]	 −13.48	 N/A	 −12.51	 [−12.47, −12.55]
PM I18498-2350	 Gl 729	 2.97	 0.02	 M3.5	 3241.0	 −7.86	 4.00 	 −12.36	 [−12.34, −12.39]	 −12.18	 [−12.12, −12.24]	 −11.33	 [−11.30, −11.37]
PM I19070+2053	 Gl 745 A	 8.52	 0.17	 M1.5	 3575.0	 −7.96	 < 2.50 	 −13.78	 [−13.58, −13.98]	 −13.55	 N/A	 −13.26	 N/A
PM I19072+2052	 Gl 745 B	 8.76	 0.18	 M2.0	 3500.0	 −8.15	 < 2.50 	 −13.58	 [−13.45, −13.72]	 −13.55	 N/A	 −13.26	 N/A
PM I19077+3232	 Gl 747 AB	 8.18	 2.05	 M3.0	 3318.0	 −8.57	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.91	 [−12.80, −13.07]
PM I19169+0510	 Gl 752 A	 5.87	 0.03	 M2.5	 3425.0	 −8.02	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.91	 [−12.87, −12.94]
PM I19216+2052	 GJ 1235	 9.99	 2.49	 M4.5	 3089.0	 −9.17	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.25	 N/A
PM I19539+4424E	 GJ 1245 B	 4.54	 1.13	 M5.5	 2936.0	 −8.71	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.01	 [−11.97, −12.05]
PM I19539+4424W	 GJ 1245 AC	 4.54	 0.03	 M5.5	 2936.0	 −8.71	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.01	 [−11.97, −12.05]
PM I20260+5834	 GJ 1253	 9.3	 2.33	 M5.0	 3013.0	 −9.22	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I20298+0941	 Gl 791.2	 8.79	 2.2	 M4.5	 3089.0	 −9.06	 32.0 	 −13.10	 [−13.05, −13.16]	 −12.75	 [−12.63, −12.88]	 −12.16	 [−12.10, −12.23]
PM I20305+6526	 Gl 793	 7.99	 0.07	 M2.5	 3425.0	 −8.29	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.19	 [−12.16, −12.24]
PM I20405+1529	 GJ 1256	 9.8	 2.45	 M4.5	 3089.0	 −9.15	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.07	 N/A
PM I20451-3120	 Gl 803	 9.91	 0.11	 M0.0	 3800.0	 −7.76	 ... 	 −11.48	 [−11.47, −11.50]	 −11.43	 [−11.39, −11.46]	 −10.53	 [−10.52, −10.54]
PM I20525-1658	 N/A	 5.71	 0.11	 M3.0	 3318.0	 −8.26	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.97	 N/A
PM I20533+6209	 Gl 809	 7.05	 0.03	 M0.5	 3725.0	 −7.56	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.38	 [−12.34, −12.44]
PM I21296+1738	 Gl 829	 6.71	 0.08	 M3.5	 3241.0	 −8.56	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.06	 N/A
PM I21313-0947	 Gl 831 AB	 8.3	 0.43	 M4.5	 3089.0	 −9.01	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.53	 [−12.44, −12.66]
