PM I20533+6209 	Gl 809 	7.05	 ±	 0.03  	M0.5  	3725 	−7.56 	< 2.50 
PM I21296+1738 	Gl 829 	6.71	 ±	 0.08  	M3.5  	3241 	−8.56 	... 
PM I21313-0947 	Gl 831 AB 	8.30	 ±	 0.43  	M4.5  	3089 	−9.01 	... 
PM I21335-4900 	Gl 832 	4.95	 ±	 0.02  	M1.5  	3575 	−7.49 	... 
PM I22012+2818 	GJ 4247 	8.90	 ±	 0.24  	M4.0  	3165 	−8.95 	35.0 
PM I22024-3704 	GJ 4248 	7.45 	±	 0.07  	M3.5  	3241 	−8.65 	... 
PM I22096-0438 	Gl 849 	9.10	 ±	 0.18  	M3.5  	3241 	−8.83 	< 2.50 
PM I22231-1736 	GJ 4274 	7.44	 ±	 1.86  	M4.5  	3089 	−8.91 	... 
PM I22387-2037 	Gl 867 A 	8.70	 ±	 0.10  	M1.5  	3575 	−7.98 	... 
PM I22468+4420 	Gl 873 	5.12	 ±	 0.05  	M3.5  	3241 	−8.33 	3.50 
PM I22532-1415 	Gl 876 	4.69	 ±	 0.05  	M4.0  	3165 	−8.39 	< 2.50 
PM I22557-7527  	Gl 877  	8.61	 ±	 0.09	 M2.5  	3425 	 −8.35 	 ... 
PM I22565+1633  	Gl 880  	6.84	 ±	 0.05	 M1.5  	3575 	 −7.77  	< 2.50 
PM I23318+1956E  	Gl 896 B	 6.18	 ±	 0.07	 M4.5  	3089 	 −8.75 	 24.2 
PM I23318+1956Wn 	 Gl 896 A	 6.18	 ±	 0.07	 M4.5  	3089 	 −8.75 	 24.2 
PM I23351-0223  	GJ 1286  	7.23	 ±	 1.81	 M5.5  	2936 	 −9.12  	< 5.69 
PM I23419+4410  	Gl 905  	3.17	 ±	 0.01	 M5.0  	3013 	 −8.29 	 ... 
PM I23431+3632  	GJ 1289  	8.10	 ±	 2.02	 M4.0  	3165 	 −8.87  	< 2.59 
PM I23492+0224  	Gl 908  	5.98	 ±	 0.04	 M1.0  	3650 	 −7.51  	< 2.50 
PM I23538-7537 	 	9.99	 ±	 0.10	 M2.0  	3500 	 −8.26 	 ... 
