PM I20451-3120 	−11.48 	[−11.47, −11.50] 		−11.43 	[−11.39, −11.46] 		−10.53 	[−10.52, −10.54] 
PM I20525-1658 						< 	−12.97 	
PM I20533+6209 							−12.38 	[−12.34, −12.44] 
PM I21296+1738 						< 	−13.06 	
PM I21313-0947 							−12.53 	[−12.44, −12.66] 
PM I21335-4900 	−12.58 	[−12.55, −12.61] 		−12.70 	[−12.60, −12.79] 	< 	−12.98 	
PM I22012+2818 	−12.18 	[−12.16, −12.20] 		−11.87 	[−11.82, −11.92] 		−11.71 	[−11.68, −11.74] 
PM I22024-3704 						< 	−12.91 	
PM I22096-0438 						< 	−12.83 	
PM I22231-1736 	−12.95 	[−12.91, −12.99] 		−12.62 	[−12.51, −12.74] 		−12.11 	[−12.04, −12.19] 
PM I22387-2037 	−11.72 	[−11.70, −11.73] 		−11.67 	[−11.63, −11.71] 		−10.73 	[−10.71, −10.75] 
PM I22468+4420 							−10.32 	[−10.32, −10.33] 
PM I22532-1415 	−13.27 	[−13.23, −13.32] 		−13.58 	[−13.29, −13.88] 		−13.02 	[−12.94, −13.12] 
PM I22557-7527 	−13.21 	[−13.16, −13.26] 		−13.94 	[−13.08, −14.80] 	< 	−13.19 	
PM I22565+1633 	−12.29 	[−12.27, −12.32] 		−12.82 	[−12.70, −12.94] 		−12.75 	[−12.64, −12.91] 
PM I23318+1956E 	−11.79 	[−11.77, −11.81] 		−11.55 	[−11.51, −11.59] 		−10.91 	[−10.91, −10.91] 
PM I23318+1956Wn 	−11.79 	[−11.77, −11.81] 		−11.55 	[−11.51, −11.59] 		−10.91 	[−10.91, −10.91] 
PM I23351-0223 	−13.42 	[−13.39, −13.46] 		−13.07 	[−12.99, −13.14] 	< 	−12.93 	
PM I23419+4410 							−12.06	[−12.00, −12.12]
PM I23431+3632 	−13.45 	[−13.37, −13.54] 		−14.03 	[−12.62, −15.44] 		−12.29 	[−12.22, −12.37] 
PM I23492+0224 	−12.73 	[−12.69, −12.77] 		−13.08 	[−12.92, −13.24] 		−12.60 	[−12.50, −12.73] 
PM I23538-7537 	−12.84 	[−12.80, −12.88] 		−12.68 	[−12.56, −12.79] 	< 	−13.19 	
